iter,m,pcnt_pruned,val_loss,speed
100,0.0,0.00,3.0115,31620.78
150,0.0004475,0.05014696193897384,3.1267,30309.06
200,0.000502,0.10086216140700122,3.5571,30258.04
250,0.0014,0.15003297353813358,9.4494,29516.62
300,0.0016176,0.20002408482743725,10.7443,28655.35
350,0.0076,0.2501452252399177,10.5797,28294.12
400,0.0155,0.30162594039540297,10.5547,28540.77
450,0.0235,0.3528153288068805,10.5269,28614.73
500,0.165,0.9079216491612829,10.8089,26800.73
